species,country_of_origin,number_of_bags,bag_weight,processing_method,aroma,flavor,body,uniformity
Arabica,Colombia,250,70.0,Washed,7.67,7.42,8.0,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.67,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.75,7.67,7.42,10.0
Arabica,United States (Hawaii),12,45.3592,Natural,7.25,7.42,7.83,10.0
Arabica,Mexico,10,1.0,Natural,7.83,7.58,7.75,10.0
Arabica,Guatemala,250,1.360776,Washed,7.67,7.58,7.75,10.0
Arabica,Brazil,320,60.0,Natural,7.67,7.83,7.67,10.0
Arabica,Kenya,200,60.0,Washed,8.08,7.67,7.25,10.0
Arabica,Honduras,285,69.0,Washed,7.5,7.5,8.0,10.0
Arabica,Nicaragua,275,69.0,Washed,7.67,7.75,7.83,10.0
Arabica,Brazil,320,60.0,Natural,7.58,7.75,7.58,10.0
Arabica,Taiwan,20,50.0,Natural,7.5,7.67,7.83,10.0
Arabica,Thailand,1,1.0,Washed,7.5,7.75,7.67,10.0
Arabica,Colombia,100,0.907184,Washed,7.5,7.75,7.67,10.0
Arabica,Guatemala,275,69.0,Washed,8.0,7.5,8.0,9.33
Arabica,Colombia,250,70.0,Washed,7.83,7.75,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.67,7.33,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.67,8.0,10.0
Arabica,Guatemala,250,69.0,Washed,7.83,7.67,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.75,7.17,10.0
Arabica,Guatemala,250,1.0,Natural,8.17,8.17,8.08,9.33
Arabica,Guatemala,250,1.0,Washed,7.67,8.17,7.58,10.0
Arabica,Mexico,48,1.0,Washed,7.67,7.5,7.83,10.0
Arabica,Indonesia,10,60.0,Washed,8.17,7.67,7.42,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.5,7.67,10.0
Arabica,Brazil,320,60.0,Natural,7.58,7.67,7.67,10.0
Arabica,Guatemala,275,69.0,Washed,7.75,7.75,7.58,10.0
Arabica,Colombia,275,70.0,Washed,7.75,7.75,7.67,10.0
Arabica,China,3,60.0,Washed,7.67,7.58,7.67,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.75,7.75,10.0
Arabica,Mexico,275,2.0,Washed,7.75,7.75,7.5,10.0
Arabica,Ethiopia,250,60.0,Washed,7.75,7.67,7.5,10.0
Arabica,Uganda,100,60.0,Washed,7.67,7.67,7.75,10.0
Arabica,Colombia,250,70.0,Natural,7.67,7.58,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.58,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.58,7.75,10.0
Arabica,Taiwan,10,30.0,Other,7.75,7.75,7.5,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.67,7.75,10.0
Arabica,Mexico,250,1.0,Washed,7.83,7.67,7.67,10.0
Arabica,Brazil,33,60.0,Semi-Washed,7.83,7.75,7.5,10.0
Arabica,Colombia,50,70.0,Washed,7.75,7.58,7.75,10.0
Arabica,Costa Rica,245,69.0,Washed,7.92,7.42,7.5,10.0
Arabica,Colombia,250,70.0,Natural,7.75,7.58,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,7.75,7.58,10.0
Arabica,Colombia,180,70.0,Washed,7.58,7.58,7.75,10.0
Arabica,"Tanzania, United Republic Of",5,60.0,Washed,7.75,7.67,7.67,10.0
Arabica,Indonesia,200,30.0,Semi-Washed,7.25,7.67,7.83,10.0
Arabica,Ethiopia,320,60.0,Natural,7.67,7.75,7.75,10.0
Arabica,Colombia,275,2.0,Washed,7.67,7.42,7.58,10.0
Arabica,Colombia,275,70.0,Washed,8.0,7.58,7.92,10.0
Arabica,Guatemala,250,1.0,Washed,7.58,7.75,7.42,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.58,7.83,10.0
Arabica,Honduras,275,1.0,Natural,7.67,7.5,7.67,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.75,7.75,10.0
Arabica,Colombia,250,70.0,Washed,7.58,7.67,7.58,10.0
Arabica,Mexico,10,1.0,Natural,7.83,7.58,7.5,10.0
Arabica,Mexico,10,1.0,Semi-Washed,7.67,7.75,7.58,10.0
Arabica,Mexico,15,1.0,Washed,7.75,7.67,7.33,10.0
Arabica,Guatemala,275,69.0,Washed,7.83,7.5,7.67,10.0
Arabica,Colombia,175,70.0,Washed,7.67,7.58,7.67,10.0
Arabica,Guatemala,250,2.0,Washed,7.5,7.5,8.0,10.0
Arabica,Colombia,300,29.0,Washed,7.5,7.58,7.75,10.0
Arabica,Guatemala,50,69.0,Washed,7.67,7.75,7.58,10.0
