country_of_origin,species,processing_method,cupper_points,YumScore
Brazil,Arabica,Natural / Dry,7.75,0.83125
Costa Rica,Arabica,Washed / Wet,7.83,0.8230000000000001
Ethiopia,Arabica,Natural / Dry,7.75,0.82925
"Tanzania, United Republic Of",Arabica,Washed / Wet,7.67,0.8355
Colombia,Arabica,Washed / Wet,7.5,0.825
Guatemala,Arabica,Washed / Wet,7.83,0.82925
Kenya,Arabica,Washed / Wet,7.75,0.827
Brazil,Arabica,Natural / Dry,7.67,0.827
Guatemala,Arabica,Washed / Wet,7.42,0.8375
El Salvador,Arabica,Natural / Dry,7.92,0.8352499999999999
Colombia,Arabica,Washed / Wet,7.58,0.8332499999999999
Guatemala,Arabica,Natural / Dry,7.67,0.829
Uganda,Arabica,Washed / Wet,7.67,0.8352499999999999
Indonesia,Arabica,Natural / Dry,7.75,0.833
Colombia,Arabica,Washed / Wet,7.5,0.829
Taiwan,Arabica,Washed / Wet,7.92,0.825
Guatemala,Arabica,Washed / Wet,7.67,0.84175
Colombia,Arabica,Washed / Wet,7.67,0.8335000000000001
Guatemala,Arabica,Washed / Wet,7.67,0.827
United States (Hawaii),Arabica,Natural / Dry,8.0,0.8082499999999999
Mexico,Arabica,Washed / Wet,7.83,0.82725
Ethiopia,Arabica,Natural / Dry,7.92,0.844
Costa Rica,Arabica,Washed / Wet,7.67,0.829
Ethiopia,Arabica,Natural / Dry,7.92,0.8227499999999999
Honduras,Arabica,Washed / Wet,7.75,0.825
Guatemala,Arabica,Washed / Wet,7.58,0.83125
Colombia,Arabica,Washed / Wet,7.83,0.8230000000000001
Guatemala,Arabica,Natural / Dry,7.5,0.8335000000000001
Guatemala,Arabica,Other,7.83,0.829
Colombia,Arabica,Washed / Wet,7.83,0.82725
Colombia,Arabica,Natural / Dry,7.67,0.81875
Colombia,Arabica,Washed / Wet,8.33,0.8252499999999999
Ethiopia,Arabica,Natural / Dry,7.83,0.82925
Brazil,Arabica,Natural / Dry,7.92,0.8352499999999999
Colombia,Arabica,Washed / Wet,7.67,0.82925
Kenya,Arabica,Washed / Wet,7.67,0.8355
Thailand,Arabica,Washed / Wet,8.42,0.8210000000000001
Kenya,Arabica,Washed / Wet,7.67,0.83125
Uganda,Arabica,Washed / Wet,7.58,0.8335000000000001
Thailand,Arabica,,8.0,0.8227499999999999
Brazil,Arabica,Natural / Dry,8.5,0.82075
Mexico,Arabica,Washed / Wet,7.83,0.827
Thailand,Arabica,Natural / Dry,7.83,0.82725
Brazil,Arabica,Natural / Dry,7.83,0.82075
Taiwan,Arabica,Washed / Wet,7.83,0.8185
Colombia,Arabica,,7.67,0.83125
Colombia,Arabica,,7.58,0.827
Taiwan,Arabica,Natural / Dry,7.67,0.83125
Colombia,Arabica,Washed / Wet,7.75,0.82925
